System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
K2-012b,KTEP,173.19204,2.24489,12.26,10.60,0.0,0.04,2456815.37380,0.00610,8.28186,0.00060,5800,53,90,0.03,0.13,0.17,1.01,0.05,0.06,1.01,0.27,0.09,-1,-1,-1,-1,-1,-1,0.0,-1,-1,0.0802,0.0021,0.0021,-1,-1,-1,0.208,0.052,0.052,-1,-1,-1,-1,-1,-1,1003,121,121,-999,-999,-999,-999,-999,-999
K2-013b,KTEP,170.15554,2.50269,12.90,11.16,0.0,0.06,2456812.53430,0.01720,40.04833,0.02111,5698,45,82,-0.54,0.12,0.14,0.80,0.04,0.04,0.78,0.09,0.05,-1,-1,-1,-1,-1,-1,0.0,-1,-1,0.2114,0.0061,0.0061,-1,-1,-1,0.169,0.085,0.085,-1,-1,-1,-1,-1,-1,511,126,126,-999,-999,-999,-999,-999,-999
K2-014b,KTEP,178.05704,2.59425,16.31,12.61,0.0,0.12,2456811.4513,0.0013,8.36802,0.00019,3789,17,16,-0.37,0.03,0.04,0.47,0.01,0.01,0.45,0.01,0.01,-1,-1,-1,-1,-1,-1,0.0,-1,-1,0.0627,0.0006,0.0006,-1,-1,-1,0.429,0.037,0.037,-1,-1,-1,-1,-1,-1,488,8,8,-999,-999,-999,-999,-999,-999
K2-015b,KTEP,178.11079,4.25475,14.66,12.49,0.0,0.12,2456811.84920,0.00810,11.81037,0.00170,5131,69,55,-0.46,0.20,0.14,0.72,0.06,0.03,0.68,0.06,0.03,-1,-1,-1,-1,-1,-1,0.0,-1,-1,0.0910,0.0018,0.0018,-1,-1,-1,0.221,0.027,0.027,-1,-1,-1,-1,-1,-1,676,26,26,-999,-999,-999,-999,-999,-999
K2-016b,KTEP,175.09725,4.55733,14.65,12.08,0.0,0.10,2456811.68110,0.00570,7.62016,0.00103,4761,50,57,-0.40,0.12,0.17,0.72,0.06,0.03,0.68,0.06,0.03,-1,-1,-1,-1,-1,-1,0.0,-1,-1,0.0662,0.0011,0.0011,-1,-1,-1,0.190,0.033,0.033,-1,-1,-1,-1,-1,-1,710,16,16,-999,-999,-999,-999,-999,-999
K2-016c,KTEP,175.09725,4.55733,14.65,12.08,0.0,0.10,2456809.48890,0.01480,19.07246,0.00519,4761,50,57,-0.40,0.12,0.17,0.72,0.06,0.03,0.68,0.06,0.03,-1,-1,-1,-1,-1,-1,0.0,-1,-1,0.1220,0.0021,0.0021,-1,-1,-1,0.191,0.037,0.037,-1,-1,-1,-1,-1,-1,523,12,12,-999,-999,-999,-999,-999,-999
K2-017b,KTEP,178.32979,6.41225,13.52,10.30,0.0,0.10,2456817.94140,0.00350,17.97149,0.00164,4320,56,47,0.15,0.09,0.22,0.71,0.02,0.05,0.66,0.02,0.03,-1,-1,-1,-1,-1,-1,0.0,-1,-1,0.1190,0.0020,0.0020,-1,-1,-1,0.199,0.018,0.018,-1,-1,-1,-1,-1,-1,487,10,10,-999,-999,-999,-999,-999,-999
K2-035b,KTEP,170.10308,1.28594,14.37,11.42,0.086,0.1,2456810.5871,0.0085,2.39984,0.00039,4680,60,60,0.04,0.04,0.04,0.76,0.04,0.04,0.72,0.04,0.04,4.56,0.010,0.010,-1,-1,-1,0.0,-1,-1,0.0320,0.0005,0.0005,-1,-1,-1,0.125,0.015,0.015,-1,-1,-1,-1,-1,-1,979,29,29,-999,-999,-999,-999,-999,-999
K2-035c,KTEP,170.10308,1.28594,14.37,11.42,0.085,0.2,2456812.1158,0.0049,5.60912,0.00071,4680,60,60,0.04,0.04,0.04,0.76,0.04,0.04,0.72,0.04,0.04,4.56,0.010,0.010,-1,-1,-1,0.0,-1,-1,0.0564,0.0009,0.0009,-1,-1,-1,0.186,0.025,0.025,-1,-1,-1,-1,-1,-1,737,22,22,-999,-999,-999,-999,-999,-999
K2-037b,KTEP,243.45100,-24.78706,12.52,10.14,0.11,0.04,2456893.7013,0.0080,4.44117,0.00075,5413,60,60,-0.03,0.04,0.04,0.90,0.05,0.05,0.85,0.04,0.04,4.52,0.07,0.07,-1,-1,-1,0.0,-1,-1,0.0511,0.0009,0.0009,-1,-1,-1,0.144,0.015,0.015,-1,-1,-1,-1,-1,-1,974,32,32,-999,-999,-999,-999,-999,-999
K2-037c,KTEP,243.45100,-24.78706,12.52,10.14,0.13,0.09,2456898.8603,0.0023,6.42904,0.00036,5413,60,60,-0.03,0.04,0.04,0.90,0.05,0.05,0.85,0.04,0.04,4.52,0.07,0.07,-1,-1,-1,0.0,-1,-1,0.0654,0.0011,0.0011,-1,-1,-1,0.245,0.024,0.024,-1,-1,-1,-1,-1,-1,861,28,28,-999,-999,-999,-999,-999,-999
K2-037d,KTEP,243.45100,-24.78706,12.52,10.14,0.12,0.08,2456907.2315,0.0031,14.09189,0.00135,5413,60,60,-0.03,0.04,0.04,0.90,0.05,0.05,0.85,0.04,0.04,4.52,0.07,0.07,-1,-1,-1,0.0,-1,-1,0.1103,0.0018,0.0018,-1,-1,-1,0.244,0.032,0.032,-1,-1,-1,-1,-1,-1,663,22,22,-999,-999,-999,-999,-999,-999
K2-042,KTEP,176.66571,-5.17192,15.02,12.28,0.127,0.09,2456814.67630,0.00520,6.687960,0.000930,4613,71,71,-1,-1,-1,0.702,0.046,0.046,0.643,0.039,0.039,4.659,0.050,0.050,-1,-1,-1,-1,-1,-1,0.062,0.001,0.001,-1,-1,-1,0.192,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-044,KTEP,174.01163,-2.52089,12.19,10.69,0.182,0.02,2456811.71760,0.00440,5.656880,0.000590,5912,51,51,-1,-1,-1,1.150,0.060,0.060,1.580,0.150,0.150,4.101,0.063,0.063,-1,-1,-1,-1,-1,-1,0.065,0.001,0.001,-1,-1,-1,0.243,0.028,0.028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-045,KTEP,169.63288,-1.77414,15.78,12.75,0.070,1.89,2456809.52604,0.00018,1.729268,0.000007,4103,90,90,-1,-1,-1,0.503,0.078,0.078,0.445,0.066,0.066,4.824,0.070,0.070,-1,-1,-1,-1,-1,-1,0.022,0.001,0.001,-1,-1,-1,0.599,0.000,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-046,KTEP,174.26633,0.90725,12.03,99.99,0.280,0.02,2456815.33530,0.00820,19.154100,0.004100,6256,37,37,-1,-1,-1,0.960,0.020,0.020,1.290,0.120,0.120,4.198,0.073,0.073,-1,-1,-1,-1,-1,-1,0.138,0.001,0.001,-1,-1,-1,0.183,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-047,KTEP,168.58258,2.78072,14.09,11.73,0.167,0.05,2456825.70300,0.01400,31.637200,0.008800,5054,82,82,-1,-1,-1,0.750,0.020,0.020,0.760,0.030,0.030,4.544,0.036,0.036,-1,-1,-1,-1,-1,-1,0.178,0.002,0.002,-1,-1,-1,0.169,0.023,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-049,KTEP,177.32021,3.47556,15.67,12.72,0.096,0.15,2456810.02030,0.00260,2.770650,0.000150,4175,97,97,-1,-1,-1,0.510,0.140,0.140,0.450,0.120,0.120,4.810,0.110,0.110,-1,-1,-1,-1,-1,-1,0.031,0.003,0.003,-1,-1,-1,0.172,0.047,0.047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-050,KTEP,169.48362,5.98839,14.72,11.66,0.112,0.07,2456810.33110,0.00740,8.752900,0.001300,4326,128,128,-1,-1,-1,0.611,0.056,0.056,0.546,0.050,0.050,4.742,0.050,0.050,-1,-1,-1,-1,-1,-1,0.071,0.002,0.002,-1,-1,-1,0.142,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-052,KTEP,246.61142,-24.96994,15.93,11.85,0.222,0.46,2456896.02800,0.00230,3.534820,0.000190,6113,787,787,-1,-1,-1,1.210,0.230,0.230,1.490,0.520,0.520,4.140,0.290,0.290,-1,-1,-1,-1,-1,-1,0.049,0.003,0.003,-1,-1,-1,0.990,0.345,0.345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-053,KTEP,244.14183,-20.40053,12.38,9.66,0.152,0.07,2456896.39110,0.00670,12.205400,0.001800,5269,79,79,-1,-1,-1,0.830,0.030,0.030,0.850,0.050,0.050,4.491,0.058,0.058,-1,-1,-1,-1,-1,-1,0.097,0.001,0.001,-1,-1,-1,0.223,0.023,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-054,KTEP,338.05421,-17.54400,14.04,11.07,0.115,0.07,2456982.93600,0.00530,9.784300,0.001400,3798,113,113,-1,-1,-1,0.421,0.069,0.069,0.384,0.052,0.052,4.891,0.057,0.057,-1,-1,-1,-1,-1,-1,0.067,0.004,0.004,-1,-1,-1,0.103,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-057,KTEP,342.69171,-14.06989,14.50,11.64,0.095,0.09,2456984.33600,0.00480,9.006300,0.001300,4434,61,61,-1,-1,-1,0.683,0.056,0.056,0.621,0.049,0.049,4.680,0.050,0.050,-1,-1,-1,-1,-1,-1,0.075,0.002,0.002,-1,-1,-1,0.187,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-058b,KTEP,333.82183,-14.04981,12.38,10.21,0.079,0.08,2456986.97630,0.00150,7.052540,0.000320,5413,255,255,-1,-1,-1,0.890,0.080,0.080,0.860,0.100,0.100,4.522,0.074,0.074,-1,-1,-1,-1,-1,-1,0.069,0.002,0.002,-1,-1,-1,0.239,0.033,0.033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-058c,KTEP,333.82183,-14.04981,12.38,10.21,0.083,0.03,2456982.12000,0.00230,2.537260,0.000170,5413,255,255,-1,-1,-1,0.890,0.080,0.080,0.860,0.100,0.100,4.522,0.074,0.074,-1,-1,-1,-1,-1,-1,0.035,0.001,0.001,-1,-1,-1,0.145,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-058d,KTEP,333.82183,-14.04981,12.38,10.21,0.133,0.03,2456998.07030,0.00520,22.882700,0.004000,5413,255,255,-1,-1,-1,0.890,0.080,0.080,0.860,0.100,0.100,4.522,0.074,0.074,-1,-1,-1,-1,-1,-1,0.152,0.005,0.005,-1,-1,-1,0.153,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-059b,KTEP,338.94233,-14.02775,14.23,11.83,0.115,0.09,2456987.06030,0.00430,20.692100,0.003300,5055,93,93,-1,-1,-1,0.774,0.073,0.073,0.731,0.072,0.072,4.592,0.050,0.050,-1,-1,-1,-1,-1,-1,0.135,0.004,0.004,-1,-1,-1,0.215,0.027,0.027,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-059c,KTEP,338.94233,-14.02775,14.23,11.83,0.073,0.08,2456986.70950,0.00290,11.295400,0.001000,5055,93,93,-1,-1,-1,0.774,0.073,0.073,0.731,0.072,0.072,4.592,0.050,0.050,-1,-1,-1,-1,-1,-1,0.090,0.003,0.003,-1,-1,-1,0.205,0.026,0.026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-061,KTEP,339.67475,-13.56003,12.99,11.38,0.097,0.03,2456983.21960,0.00270,2.573020,0.000200,6293,338,338,-1,-1,-1,1.210,0.220,0.220,1.360,0.410,0.410,4.250,0.200,0.200,-1,-1,-1,-1,-1,-1,0.039,0.002,0.002,-1,-1,-1,0.221,0.070,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-062b,KTEP,334.36417,-12.18750,12.40,9.68,0.059,0.07,2456982.68430,0.00160,6.672020,0.000280,4880,216,216,-1,-1,-1,0.770,0.050,0.050,0.730,0.050,0.050,4.604,0.037,0.037,-1,-1,-1,-1,-1,-1,0.064,0.001,0.001,-1,-1,-1,0.191,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-062c,KTEP,334.36417,-12.18750,12.40,9.68,0.054,0.07,2456991.54420,0.00240,16.196600,0.001200,4880,216,216,-1,-1,-1,0.770,0.050,0.050,0.730,0.050,0.050,4.604,0.037,0.037,-1,-1,-1,-1,-1,-1,0.115,0.002,0.002,-1,-1,-1,0.191,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-063,KTEP,333.42667,-12.06639,12.88,11.27,0.229,0.03,2456989.59290,0.00990,20.257000,0.007200,6771,303,303,-1,-1,-1,1.400,0.250,0.250,1.630,0.480,0.480,4.150,0.190,0.190,-1,-1,-1,-1,-1,-1,0.163,0.010,0.010,-1,-1,-1,0.287,0.088,0.088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-064,KTEP,332.41358,-11.42875,14.09,12.20,0.128,0.07,2456986.19180,0.00330,6.530440,0.000670,5312,82,82,-1,-1,-1,0.741,0.069,0.069,0.726,0.080,0.080,4.576,0.050,0.050,-1,-1,-1,-1,-1,-1,0.062,0.002,0.002,-1,-1,-1,0.185,0.023,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-065,KTEP,333.21175,-10.92539,10.80,8.34,0.143,0.03,2456986.33030,0.00310,12.647500,0.001300,5213,336,336,-1,-1,-1,0.870,0.100,0.100,0.840,0.120,0.120,4.533,0.080,0.080,-1,-1,-1,-1,-1,-1,0.101,0.004,0.004,-1,-1,-1,0.141,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-068,KTEP,334.01979,-10.56731,12.98,10.53,0.113,0.04,2456982.32810,0.00380,8.054280,0.000820,4746,96,96,-1,-1,-1,0.730,0.096,0.096,0.675,0.086,0.086,4.632,0.060,0.060,-1,-1,-1,-1,-1,-1,0.071,0.003,0.003,-1,-1,-1,0.141,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-069,KTEP,335.75954,-10.48858,15.95,11.76,0.068,0.18,2456982.78250,0.00230,7.065990,0.000500,4127,190,190,-1,-1,-1,0.551,0.071,0.071,0.491,0.065,0.065,4.786,0.060,0.060,-1,-1,-1,-1,-1,-1,0.059,0.002,0.002,-1,-1,-1,0.207,0.032,0.032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-070,KTEP,338.47579,-10.08494,12.99,10.85,0.147,0.08,2456984.44350,0.00210,13.978960,0.000950,5622,268,268,-1,-1,-1,0.940,0.100,0.100,0.930,0.140,0.140,4.478,0.096,0.096,-1,-1,-1,-1,-1,-1,0.111,0.004,0.004,-1,-1,-1,0.258,0.042,0.042,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-071,KTEP,341.72442,-9.88161,16.12,11.73,0.059,0.21,2456987.37850,0.00310,6.985410,0.000750,4006,133,133,-1,-1,-1,0.477,0.063,0.063,0.426,0.049,0.049,4.852,0.062,0.062,-1,-1,-1,-1,-1,-1,0.056,0.002,0.002,-1,-1,-1,0.192,0.029,0.029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-072b,KTEP,334.62196,-9.61239,15.31,10.96,0.070,0.09,2457010.37660,0.00250,5.577390,0.000680,3497,150,150,-1,-1,-1,0.217,0.081,0.081,0.232,0.056,0.056,5.048,0.075,0.075,-1,-1,-1,-1,-1,-1,0.037,0.005,0.005,-1,-1,-1,0.067,0.018,0.018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-072c,KTEP,334.62196,-9.61239,15.31,10.96,0.090,0.11,2456989.46800,0.00600,15.187100,0.003200,3497,150,150,-1,-1,-1,0.217,0.081,0.081,0.232,0.056,0.056,5.048,0.075,0.075,-1,-1,-1,-1,-1,-1,0.072,0.009,0.009,-1,-1,-1,0.077,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-072d,KTEP,334.62196,-9.61239,15.31,10.96,0.060,0.08,2456984.78570,0.00640,7.759900,0.001400,3497,150,150,-1,-1,-1,0.217,0.081,0.081,0.232,0.056,0.056,5.048,0.075,0.075,-1,-1,-1,-1,-1,-1,0.046,0.006,0.006,-1,-1,-1,0.065,0.018,0.018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-072e,KTEP,334.62196,-9.61239,15.31,10.96,0.094,0.10,2456987.04600,0.00800,24.166900,0.005700,3497,150,150,-1,-1,-1,0.217,0.081,0.081,0.232,0.056,0.056,5.048,0.075,0.075,-1,-1,-1,-1,-1,-1,0.098,0.012,0.012,-1,-1,-1,0.073,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-073,KTEP,335.02546,-9.05608,11.35,10.32,0.151,0.04,2456987.67410,0.00230,7.495430,0.000590,5922,76,76,-1,-1,-1,1.050,0.030,0.030,1.060,0.070,0.070,4.409,0.057,0.057,-1,-1,-1,-1,-1,-1,0.076,0.001,0.001,-1,-1,-1,0.219,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-074,KTEP,339.91933,-8.71450,12.59,11.06,0.213,0.05,2456997.99920,0.00450,19.566600,0.003300,6060,86,86,-1,-1,-1,0.960,0.030,0.030,0.980,0.060,0.060,4.444,0.058,0.058,-1,-1,-1,-1,-1,-1,0.140,0.002,0.002,-1,-1,-1,0.206,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-075b,KTEP,338.84483,-7.46986,12.70,11.17,0.228,0.02,2456983.45100,0.01000,7.814200,0.002100,5995,94,94,-1,-1,-1,1.160,0.060,0.060,1.560,0.150,0.150,4.118,0.069,0.069,-1,-1,-1,-1,-1,-1,0.081,0.001,0.001,-1,-1,-1,0.238,0.028,0.028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-075c,KTEP,338.84483,-7.46986,12.70,11.17,0.268,0.03,2456992.71500,0.02700,18.311000,0.014000,5995,94,94,-1,-1,-1,1.160,0.060,0.060,1.560,0.150,0.150,4.118,0.069,0.069,-1,-1,-1,-1,-1,-1,0.143,0.002,0.002,-1,-1,-1,0.247,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-077,KTEP,55.22842,12.57261,12.16,9.79,0.103,0.07,2457070.80420,0.00260,8.200750,0.000600,5297,251,251,-1,-1,-1,0.870,0.070,0.070,0.830,0.080,0.080,4.544,0.060,0.060,-1,-1,-1,-1,-1,-1,0.076,0.002,0.002,-1,-1,-1,0.220,0.026,0.026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-080b,KTEP,59.03746,13.55928,12.63,10.31,0.186,0.04,2457077.61000,0.01000,19.091800,0.006400,5441,249,249,-1,-1,-1,0.900,0.080,0.080,0.870,0.100,0.100,4.519,0.072,0.072,-1,-1,-1,-1,-1,-1,0.135,0.004,0.004,-1,-1,-1,0.179,0.027,0.027,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-080c,KTEP,59.03746,13.55928,12.63,10.31,0.112,0.02,2457066.48420,0.00710,5.605000,0.001100,5441,249,249,-1,-1,-1,0.900,0.080,0.080,0.870,0.100,0.100,4.519,0.072,0.072,-1,-1,-1,-1,-1,-1,0.060,0.002,0.002,-1,-1,-1,0.131,0.020,0.020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-081,KTEP,57.48550,14.50219,14.36,11.31,0.090,0.07,2457070.44250,0.00330,6.102240,0.000540,4530,156,156,-1,-1,-1,0.697,0.074,0.074,0.631,0.073,0.073,4.668,0.050,0.050,-1,-1,-1,-1,-1,-1,0.058,0.002,0.002,-1,-1,-1,0.162,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-083b,KTEP,59.90154,15.55889,14.51,10.76,0.069,0.07,2457067.06330,0.00240,2.746970,0.000180,3910,49,49,-1,-1,-1,0.484,0.020,0.020,0.424,0.016,0.016,4.863,0.050,0.050,-1,-1,-1,-1,-1,-1,0.030,0.000,0.000,-1,-1,-1,0.111,0.009,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-083c,KTEP,59.90154,15.55889,14.51,10.76,0.115,0.10,2457066.27030,0.00290,9.997670,0.000810,3910,49,49,-1,-1,-1,0.484,0.020,0.020,0.424,0.016,0.016,4.863,0.050,0.050,-1,-1,-1,-1,-1,-1,0.071,0.001,0.001,-1,-1,-1,0.132,0.009,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-084b,KTEP,55.80929,16.63456,13.44,11.05,0.117,0.05,2457071.42120,0.00270,6.421500,0.000560,5652,154,154,-1,-1,-1,0.950,0.070,0.070,0.930,0.120,0.120,4.481,0.089,0.089,-1,-1,-1,-1,-1,-1,0.067,0.002,0.002,-1,-1,-1,0.215,0.031,0.031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-084c,KTEP,55.80929,16.63456,13.44,11.05,0.192,0.04,2457068.61500,0.00780,27.860000,0.005200,5652,154,154,-1,-1,-1,0.950,0.070,0.070,0.930,0.120,0.120,4.481,0.089,0.089,-1,-1,-1,-1,-1,-1,0.177,0.004,0.004,-1,-1,-1,0.181,0.028,0.028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-085,KTEP,59.46442,18.46525,12.83,9.46,0.033,0.03,2457065.36846,0.00094,0.684533,0.000018,4268,122,122,-1,-1,-1,0.573,0.051,0.051,0.507,0.044,0.044,4.776,0.057,0.057,-1,-1,-1,-1,-1,-1,0.013,0.000,0.000,-1,-1,-1,0.090,0.011,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-086,KTEP,51.55279,18.63561,13.17,10.92,0.115,0.05,2457070.01730,0.00360,8.776830,0.000980,5482,248,248,-1,-1,-1,0.790,0.080,0.080,0.760,0.090,0.090,4.579,0.070,0.070,-1,-1,-1,-1,-1,-1,0.077,0.003,0.003,-1,-1,-1,0.175,0.024,0.024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-087,KTEP,66.23621,18.82742,14.13,11.19,0.177,0.19,2457072.30120,0.00340,9.727390,0.000870,5406,168,168,-1,-1,-1,0.947,0.057,0.057,0.930,0.290,0.290,4.470,0.180,0.180,-1,-1,-1,-1,-1,-1,0.088,0.002,0.002,-1,-1,-1,0.410,0.133,0.133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-088,KTEP,54.75158,19.12017,15.48,11.24,0.043,0.19,2457066.21940,0.00150,4.612200,0.000180,3537,93,93,-1,-1,-1,0.258,0.066,0.066,0.256,0.049,0.049,5.022,0.067,0.067,-1,-1,-1,-1,-1,-1,0.034,0.003,0.003,-1,-1,-1,0.110,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-089,KTEP,57.06671,20.45964,14.16,10.10,0.037,0.03,2457066.00660,0.00230,1.096026,0.000065,3691,51,51,-1,-1,-1,0.347,0.036,0.036,0.318,0.033,0.033,4.965,0.050,0.050,-1,-1,-1,-1,-1,-1,0.015,0.001,0.001,-1,-1,-1,0.055,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-090b,KTEP,59.15242,22.47264,13.85,10.36,0.128,0.14,2457078.66480,0.00250,13.731100,0.001400,4136,164,164,-1,-1,-1,0.562,0.071,0.071,0.494,0.070,0.070,4.791,0.066,0.066,-1,-1,-1,-1,-1,-1,0.093,0.004,0.004,-1,-1,-1,0.182,0.029,0.029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
K2-090c,KTEP,59.15242,22.47264,13.85,10.36,0.053,0.04,2457066.74430,0.00460,2.900320,0.000380,4136,164,164,-1,-1,-1,0.562,0.071,0.071,0.494,0.070,0.070,4.791,0.066,0.066,-1,-1,-1,-1,-1,-1,0.033,0.001,0.001,-1,-1,-1,0.091,0.016,0.016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-023b,KTEP,294.21892,49.47922,13.61,11.99,0.1990,0.01,2454971.31284,0.00661,7.107163,0.000075,5828,100,100,-0.05,0.10,0.10,1.078,0.09,0.12,1.548,0.048,0.048,4.091,0.057,0.057,0.410,0.023,0.023,-1,-1,-1,0.075,-1,-1,0.0,0.8,0.0,0.151,0.014,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-023c,KTEP,294.21892,49.47922,13.61,11.99,0.2856,0.04,2454966.28603,0.00210,10.742371,0.000037,5828,100,100,-0.05,0.10,0.10,1.078,0.09,0.12,1.548,0.048,0.048,4.091,0.057,0.057,0.410,0.023,0.023,-1,-1,-1,0.099,-1,-1,0.0,2.7,0.0,0.337,0.029,0.029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-023d,KTEP,294.21892,49.47922,13.61,11.99,0.2539,0.02,2454980.58253,0.00387,15.274299,0.000104,5828,100,100,-0.05,0.10,0.10,1.078,0.09,0.12,1.548,0.048,0.048,4.091,0.057,0.057,0.410,0.023,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.196,0.008,0.008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-024b,KTEP,290.41325,38.34375,15.10,13.37,0.1829,0.05,2454973.56330,0.00425,8.145207,0.000059,5897,219,219,-0.37,0.10,0.10,0.953,0.11,0.14,1.289,0.291,0.291,4.200,0.150,0.150,0.628,0.423,0.423,-1,-1,-1,0.080,-1,-1,0.0,1.6,0.0,0.306,0.076,0.076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-024c,KTEP,290.41325,38.34375,15.10,13.37,0.2543,0.05,2454970.58878,0.00540,12.333360,0.000119,5897,219,219,-0.37,0.10,0.10,0.953,0.11,0.14,1.289,0.291,0.291,4.200,0.150,0.150,0.628,0.423,0.423,-1,-1,-1,0.106,-1,-1,0.0,1.6,0.0,0.354,0.470,0.470,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
